"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"31","ILMN_1677827",0.110381565903893,8.28212890628248,6.23291879507597,1.09104416131994e-09,5.31796745110567e-05,11.1919587497545,"TLR7","toll like receptor 7"
"123","ILMN_1764709",0.254037747961078,9.29991191358913,6.0298295512447,3.53031177300334e-09,8.60372282198645e-05,10.0487636009652,"MAFB","MAF bZIP transcription factor B"
"19","ILMN_1665332",-0.137205511644844,8.26119432975694,-5.57018237114461,4.48620452210083e-08,0.000546666452040597,7.58053215145032,NA,NA
"165","ILMN_1793410",0.0929665672886699,8.41347649662851,5.58381525094212,4.17013127657762e-08,0.000546666452040597,7.65131896729023,"SNTB1","syntrophin beta 1"
"20","ILMN_1666633",-0.0558102057339465,8.02284642877969,-5.22331600535894,2.7408475305001e-07,0.00123385944170959,5.83027306654182,NA,NA
"96","ILMN_1739428",0.406019090384165,10.6958524691185,5.23357111419146,2.60159067740449e-07,0.00123385944170959,5.88060504192859,"IFIT2","interferon induced protein with tetratricopeptide repeats 2"
"108","ILMN_1748473",0.178040929441448,12.2060192561937,5.37229393194838,1.27450639118569e-07,0.00123385944170959,6.56996450169763,"GIMAP4","GTPase, IMAP family member 4"
"142","ILMN_1777325",0.374165337122788,10.6305421952057,5.27776988874921,2.07597044915022e-07,0.00123385944170959,6.09852542968536,"STAT1","signal transducer and activator of transcription 1"
"153","ILMN_1784333",0.0807776700178806,8.36759743377474,5.25748317330105,2.30299969717108e-07,0.00123385944170959,5.99830252187471,"SECISBP2L","SECIS binding protein 2 like"
"183","ILMN_1810289",0.158843347581689,8.28435312872985,5.32196233039945,1.65403357206782e-07,0.00123385944170959,6.31802277282026,"MYOF","myoferlin"
"208","ILMN_2090397",-0.135130697477651,8.87706877424594,-5.22020162530609,2.78455005104541e-07,0.00123385944170959,5.81500492586751,"ISG20L2","interferon stimulated exonuclease gene 20 like 2"
"101","ILMN_1742431",-0.158883136935922,9.02315586051171,-5.13675012249067,4.24221948300233e-07,0.00153384111252425,5.40887903059668,NA,NA
"160","ILMN_1788160",0.0576131839709886,8.0088494236947,5.12563030833256,4.48511492064842e-07,0.00153384111252425,5.35519982603264,"KIF5B","kinesin family member 5B"
"244","ILMN_2336982",0.206015482439575,10.4735634322031,5.11540621299475,4.72028572645025e-07,0.00153384111252425,5.30593538906419,"NPTN","neuroplastin"
"258","ILMN_2403237",0.0639366089480617,8.08554016132944,5.11761340793632,4.66852764453755e-07,0.00153384111252425,5.31656331106132,"CHN2","chimerin 2"
"170","ILMN_1797341",0.163795368489556,9.88925513572586,5.0958149433095,5.20470129237742e-07,0.00158554718995663,5.21177889672811,"ARID1A","AT-rich interaction domain 1A"
"80","ILMN_1724181",0.0778620566167074,8.03854321821333,5.07849086297114,5.67285915315642e-07,0.00159624975839926,5.12878532775648,"IL15","interleukin 15"
"216","ILMN_2123312",-0.190995915455559,11.6325552231187,-5.07075568788694,5.89481261564701e-07,0.00159624975839926,5.09180975157771,"ERAP2","endoplasmic reticulum aminopeptidase 2"
"57","ILMN_1705241",0.139274085158933,8.7310669585867,5.05899533597555,6.24843959358737e-07,0.0016029549614244,5.03568888142652,"TDRD7","tudor domain containing 7"
